PopSize,AvgObjective,StdObjective,SuccessRate,NumConfigs
20.0000,147.9749,2.3198,1.0000,12.0000
50.0000,147.7693,2.3722,1.0000,12.0000
100.0000,148.9535,2.8278,1.0000,12.0000
150.0000,151.0414,2.9872,1.0000,12.0000
