MutRate,AvgObjective,StdObjective,SuccessRate,NumConfigs
0.0500,146.7355,2.0840,1.0000,20.0000
0.1000,146.8909,2.1575,1.0000,20.0000
0.1500,146.8421,2.2202,1.0000,20.0000
0.2000,146.4924,2.1190,1.0000,20.0000
0.2500,146.4571,2.1843,1.0000,20.0000
