PopSize,AvgObjective,StdObjective,SuccessRate,NumConfigs
50.0000,147.1162,2.4434,1.0000,20.0000
100.0000,146.6885,2.1115,1.0000,20.0000
150.0000,146.3231,1.7838,1.0000,20.0000
200.0000,146.7580,2.2787,1.0000,20.0000
300.0000,146.5322,2.1475,1.0000,20.0000
