EliteCount,AvgObjective,StdObjective,SuccessRate,NumConfigs
5.0000,146.8068,2.2067,1.0000,25.0000
10.0000,146.5922,2.0986,1.0000,25.0000
15.0000,146.6572,2.2036,1.0000,25.0000
20.0000,146.6782,2.1031,1.0000,25.0000
