ConfigID,PopSize,MutRate,EliteCount,TestNum,Objective,MaxSP,Runtime
1.0000,50.0000,0.0500,5.0000,1.0000,145.4900,994.0000,30.0383
1.0000,50.0000,0.0500,5.0000,2.0000,147.4800,998.0000,30.0317
1.0000,50.0000,0.0500,5.0000,3.0000,146.2050,998.0000,30.0283
1.0000,50.0000,0.0500,5.0000,4.0000,147.1050,992.0000,30.0288
1.0000,50.0000,0.0500,5.0000,5.0000,145.7000,998.0000,30.0310
1.0000,50.0000,0.0500,5.0000,6.0000,150.1450,994.0000,30.0345
1.0000,50.0000,0.0500,5.0000,7.0000,151.3150,997.0000,30.0313
1.0000,50.0000,0.0500,5.0000,8.0000,147.5450,997.0000,30.0339
1.0000,50.0000,0.0500,5.0000,9.0000,146.2250,998.0000,30.0306
1.0000,50.0000,0.0500,5.0000,10.0000,149.3000,998.0000,30.0347
2.0000,50.0000,0.0500,10.0000,1.0000,148.5550,998.0000,30.0336
2.0000,50.0000,0.0500,10.0000,2.0000,145.7000,998.0000,30.0325
2.0000,50.0000,0.0500,10.0000,3.0000,146.2250,998.0000,30.0345
2.0000,50.0000,0.0500,10.0000,4.0000,146.2250,998.0000,30.0321
2.0000,50.0000,0.0500,10.0000,5.0000,149.2450,997.0000,30.0346
2.0000,50.0000,0.0500,10.0000,6.0000,150.0900,998.0000,30.0329
2.0000,50.0000,0.0500,10.0000,7.0000,147.6500,997.0000,30.0298
2.0000,50.0000,0.0500,10.0000,8.0000,149.8950,996.0000,30.0339
2.0000,50.0000,0.0500,10.0000,9.0000,146.1700,998.0000,30.0334
2.0000,50.0000,0.0500,10.0000,10.0000,148.8500,989.0000,30.0358
3.0000,50.0000,0.0500,15.0000,1.0000,143.1600,998.0000,30.0351
3.0000,50.0000,0.0500,15.0000,2.0000,147.9250,990.0000,30.0316
3.0000,50.0000,0.0500,15.0000,3.0000,150.6250,998.0000,30.0303
3.0000,50.0000,0.0500,15.0000,4.0000,146.1950,998.0000,30.0328
3.0000,50.0000,0.0500,15.0000,5.0000,143.4050,1000.0000,30.0301
3.0000,50.0000,0.0500,15.0000,6.0000,146.1300,998.0000,30.0338
3.0000,50.0000,0.0500,15.0000,7.0000,144.4900,997.0000,30.0363
3.0000,50.0000,0.0500,15.0000,8.0000,150.5000,1000.0000,30.0308
3.0000,50.0000,0.0500,15.0000,9.0000,145.7000,998.0000,30.0285
3.0000,50.0000,0.0500,15.0000,10.0000,148.5550,998.0000,30.0358
4.0000,50.0000,0.0500,20.0000,1.0000,151.0150,998.0000,30.0312
4.0000,50.0000,0.0500,20.0000,2.0000,149.2450,997.0000,30.0324
4.0000,50.0000,0.0500,20.0000,3.0000,143.4050,1000.0000,30.0336
