Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0105,209.5550,0.0002,0.0047,0.5000
2.0000,0.0162,199.0300,0.0011,0.0050,0.6667
3.0000,0.0215,199.0300,0.0025,0.0050,0.7500
4.0000,0.0265,199.0300,0.0039,0.0050,0.8000
5.0000,0.0309,199.0300,0.0043,0.0050,0.8333
6.0000,0.0356,191.8000,0.0044,0.0052,0.8571
7.0000,0.0400,191.8000,0.0045,0.0052,0.8750
8.0000,0.0452,191.3950,0.0045,0.0052,0.8889
9.0000,0.0497,191.3950,0.0045,0.0052,0.9000
10.0000,0.0541,191.3950,0.0051,0.0052,0.9091
11.0000,0.0590,191.3950,0.0041,0.0052,0.9167
12.0000,0.0639,188.9750,0.0047,0.0053,0.9231
13.0000,0.0681,188.9750,0.0050,0.0053,0.9286
14.0000,0.0725,188.9750,0.0049,0.0053,0.9333
15.0000,0.0766,188.9750,0.0050,0.0053,0.9375
16.0000,0.0811,188.9750,0.0052,0.0053,0.9412
17.0000,0.0852,188.9750,0.0052,0.0053,0.9444
18.0000,0.0901,180.1200,0.0053,0.0055,0.9474
19.0000,0.0947,180.1200,0.0050,0.0055,0.9500
20.0000,0.0998,180.1200,0.0046,0.0055,0.9524
21.0000,0.1049,180.1200,0.0050,0.0055,0.9545
22.0000,0.1097,179.3800,0.0054,0.0055,0.9565
23.0000,0.1146,179.3800,0.0047,0.0055,0.9583
24.0000,0.1193,179.3800,0.0047,0.0055,0.9600
25.0000,0.1239,179.3800,0.0055,0.0055,0.9615
26.0000,0.1282,179.3800,0.0052,0.0055,0.9630
27.0000,0.1322,179.3800,0.0055,0.0055,0.9643
28.0000,0.1372,179.3800,0.0055,0.0055,0.9655
29.0000,0.1418,179.3800,0.0052,0.0055,0.9667
30.0000,0.1457,179.3800,0.0055,0.0055,0.9677
31.0000,0.1505,174.9650,0.0050,0.0057,0.9688
32.0000,0.1556,174.9650,0.0044,0.0057,0.9697
33.0000,0.1604,174.9650,0.0050,0.0057,0.9706
34.0000,0.1651,174.9650,0.0048,0.0057,0.9714
35.0000,0.1695,174.4750,0.0051,0.0057,0.9722
36.0000,0.1737,174.4750,0.0054,0.0057,0.9730
37.0000,0.1784,174.4750,0.0056,0.0057,0.9737
38.0000,0.1825,174.4750,0.0057,0.0057,0.9744
39.0000,0.1870,174.4750,0.0048,0.0057,0.9750
40.0000,0.1918,173.9650,0.0054,0.0057,0.9756
41.0000,0.1971,171.8250,0.0048,0.0058,0.9762
42.0000,0.2019,171.8250,0.0056,0.0058,0.9767
43.0000,0.2061,170.5250,0.0057,0.0058,0.9773
44.0000,0.2108,170.5250,0.0054,0.0058,0.9778
45.0000,0.2151,170.5250,0.0057,0.0058,0.9783
46.0000,0.2192,170.5250,0.0054,0.0058,0.9787
47.0000,0.2234,170.5250,0.0055,0.0058,0.9792
48.0000,0.2276,170.5250,0.0052,0.0058,0.9796
49.0000,0.2316,170.5250,0.0058,0.0058,0.9800
50.0000,0.2361,170.5250,0.0055,0.0058,0.9804
51.0000,0.2414,170.5250,0.0049,0.0058,0.9808
52.0000,0.2456,168.3850,0.0058,0.0059,0.9811
53.0000,0.2501,168.3850,0.0057,0.0059,0.9815
54.0000,0.2543,168.3850,0.0055,0.0059,0.9818
55.0000,0.2584,168.3850,0.0058,0.0059,0.9821
56.0000,0.2632,166.0350,0.0050,0.0060,0.9825
57.0000,0.2678,166.0350,0.0058,0.0060,0.9828
58.0000,0.2724,166.0350,0.0050,0.0060,0.9831
59.0000,0.2768,166.0350,0.0053,0.0060,0.9833
60.0000,0.2811,166.0350,0.0057,0.0060,0.9836
61.0000,0.2851,166.0350,0.0057,0.0060,0.9839
62.0000,0.2896,165.6700,0.0057,0.0060,0.9841
63.0000,0.2943,160.6750,0.0057,0.0062,0.9844
64.0000,0.2993,160.6750,0.0054,0.0062,0.9846
65.0000,0.3038,160.6750,0.0051,0.0062,0.9848
66.0000,0.3084,160.1250,0.0057,0.0062,0.9851
67.0000,0.3133,160.1250,0.0055,0.0062,0.9853
68.0000,0.3178,160.1250,0.0061,0.0062,0.9855
69.0000,0.3223,160.1250,0.0049,0.0062,0.9857
70.0000,0.3261,160.1250,0.0061,0.0062,0.9859
71.0000,0.3302,160.1250,0.0059,0.0062,0.9861
72.0000,0.3351,160.1250,0.0055,0.0062,0.9863
73.0000,0.3393,160.1250,0.0062,0.0062,0.9865
74.0000,0.3434,160.1250,0.0062,0.0062,0.9867
75.0000,0.3473,160.1250,0.0059,0.0062,0.9868
76.0000,0.3519,160.1250,0.0058,0.0062,0.9870
77.0000,0.3561,160.1250,0.0059,0.0062,0.9872
78.0000,0.3606,160.1250,0.0052,0.0062,0.9873
79.0000,0.3653,160.1250,0.0047,0.0062,0.9875
80.0000,0.3695,160.1250,0.0062,0.0062,0.9877
81.0000,0.3737,160.1250,0.0059,0.0062,0.9878
82.0000,0.3779,160.1250,0.0059,0.0062,0.9880
83.0000,0.3824,160.1250,0.0056,0.0062,0.9881
84.0000,0.3866,160.1250,0.0056,0.0062,0.9882
85.0000,0.3909,160.1250,0.0056,0.0062,0.9884
86.0000,0.3947,160.1250,0.0062,0.0062,0.9885
87.0000,0.3989,160.1250,0.0059,0.0062,0.9886
88.0000,0.4033,160.1250,0.0058,0.0062,0.9888
89.0000,0.4076,160.1250,0.0053,0.0062,0.9889
90.0000,0.4116,160.1250,0.0059,0.0062,0.9890
91.0000,0.4159,160.1250,0.0059,0.0062,0.9891
92.0000,0.4206,160.1250,0.0061,0.0062,0.9892
93.0000,0.4252,160.1250,0.0056,0.0062,0.9894
94.0000,0.4292,160.1250,0.0062,0.0062,0.9895
95.0000,0.4333,160.1250,0.0059,0.0062,0.9896
96.0000,0.4377,160.1250,0.0053,0.0062,0.9897
97.0000,0.4419,160.1250,0.0059,0.0062,0.9898
98.0000,0.4459,160.1250,0.0062,0.0062,0.9899
99.0000,0.4502,160.1250,0.0053,0.0062,0.9900
100.0000,0.4544,160.1250,0.0059,0.0062,0.9901
101.0000,0.4588,160.1250,0.0062,0.0062,0.9902
102.0000,0.4626,160.1250,0.0062,0.0062,0.9903
103.0000,0.4672,160.1250,0.0053,0.0062,0.9904
104.0000,0.4715,160.1250,0.0053,0.0062,0.9905
105.0000,0.4759,160.1250,0.0056,0.0062,0.9906
106.0000,0.4801,160.1250,0.0059,0.0062,0.9907
107.0000,0.4844,160.1250,0.0062,0.0062,0.9907
108.0000,0.4885,160.1250,0.0059,0.0062,0.9908
109.0000,0.4926,160.1250,0.0061,0.0062,0.9909
110.0000,0.4965,160.1250,0.0062,0.0062,0.9910
111.0000,0.5008,160.1250,0.0059,0.0062,0.9911
112.0000,0.5048,160.1250,0.0062,0.0062,0.9912
113.0000,0.5090,160.1250,0.0056,0.0062,0.9912
114.0000,0.5133,160.1250,0.0062,0.0062,0.9913
115.0000,0.5174,160.1250,0.0059,0.0062,0.9914
116.0000,0.5217,159.8750,0.0062,0.0062,0.9915
117.0000,0.5262,157.9400,0.0061,0.0063,0.9915
118.0000,0.5306,157.9400,0.0058,0.0063,0.9916
119.0000,0.5354,157.9400,0.0053,0.0063,0.9917
120.0000,0.5393,157.9400,0.0060,0.0063,0.9917
121.0000,0.5435,157.9400,0.0059,0.0063,0.9918
122.0000,0.5480,157.9400,0.0059,0.0063,0.9919
123.0000,0.5520,157.9400,0.0060,0.0063,0.9919
124.0000,0.5559,157.9400,0.0060,0.0063,0.9920
125.0000,0.5603,157.9400,0.0054,0.0063,0.9921
126.0000,0.5645,157.9400,0.0060,0.0063,0.9921
127.0000,0.5686,157.9400,0.0057,0.0063,0.9922
128.0000,0.5729,157.9400,0.0056,0.0063,0.9922
129.0000,0.5773,157.9400,0.0050,0.0063,0.9923
130.0000,0.5818,157.9400,0.0059,0.0063,0.9924
131.0000,0.5862,157.9400,0.0056,0.0063,0.9924
132.0000,0.5909,157.9400,0.0047,0.0063,0.9925
133.0000,0.5952,157.9400,0.0060,0.0063,0.9925
134.0000,0.5990,157.9400,0.0063,0.0063,0.9926
135.0000,0.6030,157.9400,0.0063,0.0063,0.9926
136.0000,0.6076,157.9400,0.0056,0.0063,0.9927
137.0000,0.6117,157.9400,0.0060,0.0063,0.9928
138.0000,0.6165,157.9400,0.0044,0.0063,0.9928
139.0000,0.6211,157.9400,0.0056,0.0063,0.9929
140.0000,0.6253,157.9400,0.0060,0.0063,0.9929
141.0000,0.6297,157.9400,0.0063,0.0063,0.9930
142.0000,0.6339,157.9400,0.0053,0.0063,0.9930
143.0000,0.6383,157.9400,0.0056,0.0063,0.9931
144.0000,0.6426,157.9400,0.0060,0.0063,0.9931
145.0000,0.6468,157.9400,0.0057,0.0063,0.9932
146.0000,0.6511,157.9400,0.0056,0.0063,0.9932
147.0000,0.6551,157.9400,0.0060,0.0063,0.9932
148.0000,0.6593,157.9400,0.0057,0.0063,0.9933
149.0000,0.6633,157.9400,0.0059,0.0063,0.9933
150.0000,0.6675,157.9400,0.0060,0.0063,0.9934
151.0000,0.6729,157.9400,0.0060,0.0063,0.9934
152.0000,0.6775,157.9400,0.0062,0.0063,0.9935
153.0000,0.6828,157.1200,0.0056,0.0063,0.9935
154.0000,0.6886,157.1200,0.0056,0.0063,0.9935
155.0000,0.6928,157.1200,0.0054,0.0063,0.9936
156.0000,0.6970,157.1200,0.0059,0.0063,0.9936
157.0000,0.7012,157.1200,0.0060,0.0063,0.9937
158.0000,0.7055,157.1200,0.0050,0.0063,0.9937
159.0000,0.7094,157.1200,0.0063,0.0063,0.9938
160.0000,0.7133,157.1200,0.0063,0.0063,0.9938
161.0000,0.7178,157.1200,0.0056,0.0063,0.9938
162.0000,0.7215,157.1200,0.0063,0.0063,0.9939
163.0000,0.7254,157.1200,0.0063,0.0063,0.9939
164.0000,0.7294,157.1200,0.0060,0.0063,0.9939
165.0000,0.7334,157.1200,0.0060,0.0063,0.9940
166.0000,0.7376,157.1200,0.0057,0.0063,0.9940
167.0000,0.7416,157.1200,0.0060,0.0063,0.9940
168.0000,0.7458,156.3950,0.0056,0.0064,0.9941
169.0000,0.7503,156.3950,0.0050,0.0064,0.9941
170.0000,0.7547,156.3950,0.0056,0.0064,0.9942
171.0000,0.7589,156.3950,0.0063,0.0064,0.9942
172.0000,0.7628,156.3950,0.0063,0.0064,0.9942
173.0000,0.7672,156.3950,0.0060,0.0064,0.9943
174.0000,0.7712,156.3950,0.0063,0.0064,0.9943
175.0000,0.7752,156.3950,0.0063,0.0064,0.9943
176.0000,0.7795,156.3950,0.0057,0.0064,0.9944
177.0000,0.7833,156.3950,0.0063,0.0064,0.9944
178.0000,0.7872,156.3950,0.0060,0.0064,0.9944
179.0000,0.7911,156.3950,0.0063,0.0064,0.9944
180.0000,0.7952,156.3950,0.0054,0.0064,0.9945
181.0000,0.7991,156.3950,0.0057,0.0064,0.9945
182.0000,0.8030,156.3950,0.0057,0.0064,0.9945
183.0000,0.8067,156.3950,0.0060,0.0064,0.9946
184.0000,0.8106,156.3950,0.0060,0.0064,0.9946
185.0000,0.8146,156.3950,0.0057,0.0064,0.9946
186.0000,0.8187,156.3950,0.0057,0.0064,0.9947
187.0000,0.8228,156.3950,0.0054,0.0064,0.9947
188.0000,0.8271,156.3950,0.0060,0.0064,0.9947
189.0000,0.8311,156.3950,0.0063,0.0064,0.9947
190.0000,0.8349,156.3950,0.0060,0.0064,0.9948
191.0000,0.8387,156.3950,0.0060,0.0064,0.9948
192.0000,0.8426,156.3950,0.0063,0.0064,0.9948
