MutRate,AvgObjective,StdObjective,SuccessRate,NumConfigs
0.0500,146.4561,2.0686,1.0000,20.0000
0.1000,146.7377,2.0183,1.0000,20.0000
0.1500,146.2214,2.1501,1.0000,20.0000
0.2000,146.4109,2.1266,1.0000,20.0000
0.2500,146.1488,2.1439,1.0000,20.0000
