Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0640,203.7200,0.0005,0.0049,0.0033
2.0000,0.0987,198.9050,0.0011,0.0050,0.0089
3.0000,0.1334,188.5350,0.0022,0.0053,0.0133
4.0000,0.1683,188.5350,0.0027,0.0053,0.0267
5.0000,0.2032,186.0650,0.0028,0.0053,0.0322
6.0000,0.2376,186.0650,0.0034,0.0053,0.0371
7.0000,0.2718,186.0650,0.0035,0.0053,0.0383
8.0000,0.3036,183.2800,0.0039,0.0054,0.0474
9.0000,0.3353,178.7400,0.0039,0.0056,0.0547
10.0000,0.3668,178.7400,0.0041,0.0056,0.0642
11.0000,0.3992,178.7400,0.0041,0.0056,0.0694
12.0000,0.4305,173.1100,0.0039,0.0057,0.0800
13.0000,0.4607,172.3500,0.0044,0.0058,0.0910
14.0000,0.4900,172.3500,0.0045,0.0058,0.1093
15.0000,0.5167,172.3500,0.0046,0.0058,0.1342
16.0000,0.5427,171.7550,0.0046,0.0058,0.1576
17.0000,0.5672,171.5750,0.0047,0.0058,0.1811
18.0000,0.5926,170.2650,0.0049,0.0058,0.2014
19.0000,0.6190,170.2650,0.0045,0.0058,0.2127
20.0000,0.6455,168.5850,0.0044,0.0059,0.2213
21.0000,0.6730,168.5850,0.0044,0.0059,0.2276
22.0000,0.6998,168.5850,0.0046,0.0059,0.2345
23.0000,0.7265,168.5850,0.0044,0.0059,0.2411
24.0000,0.7530,168.5850,0.0045,0.0059,0.2488
25.0000,0.7773,168.0900,0.0049,0.0059,0.2605
26.0000,0.8052,168.0400,0.0048,0.0059,0.2731
27.0000,0.8280,168.0400,0.0050,0.0059,0.2871
28.0000,0.8500,168.0400,0.0051,0.0059,0.3025
29.0000,0.8713,168.0400,0.0052,0.0059,0.3180
30.0000,0.8928,168.0400,0.0052,0.0059,0.3329
31.0000,0.9146,167.4000,0.0052,0.0059,0.3456
32.0000,0.9369,166.8900,0.0053,0.0060,0.3572
33.0000,0.9603,166.8900,0.0054,0.0060,0.3667
34.0000,0.9835,166.8900,0.0050,0.0060,0.3750
35.0000,1.0061,166.6300,0.0052,0.0060,0.3846
36.0000,1.0285,166.6300,0.0051,0.0060,0.3935
37.0000,1.0522,166.6300,0.0051,0.0060,0.4018
38.0000,1.0750,166.6300,0.0053,0.0060,0.4096
39.0000,1.0974,166.6300,0.0052,0.0060,0.4182
40.0000,1.1203,166.6300,0.0052,0.0060,0.4249
41.0000,1.1412,165.9900,0.0054,0.0060,0.4338
42.0000,1.1612,165.6450,0.0056,0.0060,0.4439
43.0000,1.1819,165.6450,0.0054,0.0060,0.4524
44.0000,1.2031,165.6450,0.0054,0.0060,0.4597
45.0000,1.2259,165.6450,0.0050,0.0060,0.4649
46.0000,1.2478,165.6450,0.0054,0.0060,0.4713
47.0000,1.2687,165.6450,0.0055,0.0060,0.4782
48.0000,1.2910,165.6450,0.0056,0.0060,0.4837
49.0000,1.3128,164.6650,0.0055,0.0060,0.4896
50.0000,1.3342,164.6650,0.0056,0.0060,0.4958
51.0000,1.3594,164.6650,0.0054,0.0060,0.5013
52.0000,1.3811,164.6650,0.0054,0.0060,0.5068
53.0000,1.4035,164.6650,0.0053,0.0060,0.5116
54.0000,1.4254,161.8100,0.0056,0.0061,0.5166
55.0000,1.4480,161.8100,0.0053,0.0061,0.5207
56.0000,1.4698,161.8100,0.0057,0.0061,0.5260
57.0000,1.4928,161.6200,0.0055,0.0061,0.5300
58.0000,1.5155,161.6200,0.0056,0.0061,0.5340
59.0000,1.5386,161.6200,0.0054,0.0061,0.5378
60.0000,1.5619,161.6200,0.0054,0.0061,0.5415
61.0000,1.5846,161.6200,0.0057,0.0061,0.5455
62.0000,1.6082,161.6200,0.0053,0.0061,0.5487
63.0000,1.6306,161.6200,0.0058,0.0061,0.5527
64.0000,1.6523,161.6200,0.0057,0.0061,0.5563
65.0000,1.6740,161.6200,0.0058,0.0061,0.5604
66.0000,1.6950,161.6200,0.0058,0.0061,0.5646
67.0000,1.7164,161.6200,0.0058,0.0061,0.5683
68.0000,1.7374,161.6200,0.0056,0.0061,0.5721
69.0000,1.7598,161.2050,0.0056,0.0062,0.5749
70.0000,1.7871,161.2050,0.0058,0.0062,0.5788
71.0000,1.8148,161.2050,0.0057,0.0062,0.5826
72.0000,1.8353,161.2050,0.0058,0.0062,0.5865
73.0000,1.8565,161.2050,0.0056,0.0062,0.5898
74.0000,1.8771,161.2050,0.0057,0.0062,0.5933
75.0000,1.8994,159.0450,0.0055,0.0062,0.5959
76.0000,1.9217,159.0450,0.0057,0.0062,0.5983
77.0000,1.9442,159.0450,0.0054,0.0062,0.6003
78.0000,1.9651,159.0450,0.0056,0.0062,0.6030
79.0000,1.9856,159.0450,0.0059,0.0062,0.6060
80.0000,2.0069,159.0450,0.0058,0.0062,0.6086
81.0000,2.0297,159.0450,0.0057,0.0062,0.6101
82.0000,2.0515,159.0450,0.0056,0.0062,0.6118
83.0000,2.0742,159.0450,0.0055,0.0062,0.6133
84.0000,2.0954,159.0450,0.0057,0.0062,0.6153
85.0000,2.1163,159.0450,0.0059,0.0062,0.6177
86.0000,2.1377,159.0450,0.0058,0.0062,0.6199
87.0000,2.1591,158.1200,0.0058,0.0063,0.6220
88.0000,2.1804,158.1200,0.0056,0.0063,0.6241
89.0000,2.2003,158.1200,0.0059,0.0063,0.6267
90.0000,2.2214,158.1200,0.0059,0.0063,0.6287
91.0000,2.2426,158.1200,0.0056,0.0063,0.6308
92.0000,2.2632,158.1200,0.0054,0.0063,0.6326
93.0000,2.2851,156.0250,0.0051,0.0064,0.6340
