Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0114,248.1100,0.0002,0.0040,0.5000
2.0000,0.0174,233.0950,0.0008,0.0043,0.6667
3.0000,0.0228,232.5300,0.0023,0.0043,0.7500
4.0000,0.0284,216.2400,0.0042,0.0046,0.8000
5.0000,0.0338,216.2400,0.0043,0.0046,0.8333
6.0000,0.0395,212.5700,0.0042,0.0047,0.8571
7.0000,0.0451,199.1000,0.0045,0.0050,0.8750
8.0000,0.0502,199.1000,0.0044,0.0050,0.8889
9.0000,0.0548,199.1000,0.0043,0.0050,0.9000
10.0000,0.0597,180.6250,0.0046,0.0055,0.9091
11.0000,0.0652,180.6250,0.0049,0.0055,0.9167
12.0000,0.0700,180.6250,0.0048,0.0055,0.9231
13.0000,0.0749,180.6250,0.0046,0.0055,0.9286
14.0000,0.0803,178.8750,0.0047,0.0056,0.9333
15.0000,0.0849,178.8750,0.0053,0.0056,0.9375
16.0000,0.0896,178.8750,0.0049,0.0056,0.9412
17.0000,0.0947,178.8750,0.0049,0.0056,0.9444
18.0000,0.0992,178.8750,0.0052,0.0056,0.9474
19.0000,0.1038,178.8750,0.0053,0.0056,0.9500
20.0000,0.1082,178.2550,0.0056,0.0056,0.9524
21.0000,0.1135,178.2550,0.0047,0.0056,0.9545
22.0000,0.1184,178.2550,0.0052,0.0056,0.9565
23.0000,0.1229,176.5350,0.0053,0.0056,0.9583
24.0000,0.1278,176.5350,0.0052,0.0056,0.9600
25.0000,0.1325,176.5350,0.0050,0.0056,0.9615
26.0000,0.1372,176.5350,0.0052,0.0056,0.9630
27.0000,0.1416,176.5350,0.0055,0.0056,0.9643
28.0000,0.1459,176.5350,0.0053,0.0056,0.9655
29.0000,0.1510,176.5350,0.0050,0.0056,0.9667
30.0000,0.1551,176.5350,0.0056,0.0056,0.9677
31.0000,0.1604,171.6950,0.0048,0.0058,0.9688
32.0000,0.1654,171.6950,0.0048,0.0058,0.9697
33.0000,0.1703,171.6950,0.0054,0.0058,0.9706
34.0000,0.1749,171.6950,0.0054,0.0058,0.9714
35.0000,0.1792,171.6950,0.0054,0.0058,0.9722
36.0000,0.1838,171.6950,0.0052,0.0058,0.9730
37.0000,0.1883,171.6950,0.0058,0.0058,0.9737
38.0000,0.1930,171.6950,0.0052,0.0058,0.9744
39.0000,0.1981,171.6950,0.0052,0.0058,0.9750
40.0000,0.2023,171.6950,0.0055,0.0058,0.9756
41.0000,0.2073,171.6950,0.0049,0.0058,0.9762
42.0000,0.2118,171.6950,0.0049,0.0058,0.9767
43.0000,0.2166,171.6950,0.0049,0.0058,0.9773
44.0000,0.2213,171.6950,0.0054,0.0058,0.9778
45.0000,0.2258,171.6950,0.0052,0.0058,0.9783
46.0000,0.2308,171.6950,0.0049,0.0058,0.9787
47.0000,0.2354,171.6950,0.0055,0.0058,0.9792
48.0000,0.2403,171.6950,0.0052,0.0058,0.9796
49.0000,0.2443,171.6950,0.0058,0.0058,0.9800
50.0000,0.2487,171.6950,0.0055,0.0058,0.9804
51.0000,0.2534,171.6950,0.0055,0.0058,0.9808
52.0000,0.2583,171.6950,0.0046,0.0058,0.9811
53.0000,0.2629,171.6950,0.0055,0.0058,0.9815
54.0000,0.2677,171.6950,0.0055,0.0058,0.9818
55.0000,0.2724,171.6950,0.0046,0.0058,0.9821
56.0000,0.2765,171.1650,0.0055,0.0058,0.9825
57.0000,0.2813,171.1650,0.0052,0.0058,0.9828
58.0000,0.2865,171.1650,0.0057,0.0058,0.9831
59.0000,0.2906,171.1650,0.0055,0.0058,0.9833
60.0000,0.2953,171.1650,0.0049,0.0058,0.9836
61.0000,0.2998,171.1650,0.0049,0.0058,0.9839
62.0000,0.3042,171.1650,0.0052,0.0058,0.9841
63.0000,0.3081,171.1650,0.0055,0.0058,0.9844
64.0000,0.3125,171.1650,0.0055,0.0058,0.9846
65.0000,0.3169,171.1650,0.0058,0.0058,0.9848
66.0000,0.3209,171.1650,0.0058,0.0058,0.9851
67.0000,0.3251,171.1650,0.0058,0.0058,0.9853
68.0000,0.3294,171.1650,0.0058,0.0058,0.9855
69.0000,0.3333,171.1650,0.0055,0.0058,0.9857
70.0000,0.3376,171.1650,0.0052,0.0058,0.9859
71.0000,0.3419,171.1650,0.0055,0.0058,0.9861
72.0000,0.3468,170.4600,0.0052,0.0058,0.9863
73.0000,0.3512,170.4600,0.0052,0.0058,0.9865
74.0000,0.3554,166.7600,0.0058,0.0060,0.9867
75.0000,0.3600,166.7600,0.0055,0.0060,0.9868
76.0000,0.3641,166.7600,0.0055,0.0060,0.9870
77.0000,0.3684,166.7600,0.0050,0.0060,0.9872
78.0000,0.3725,166.7600,0.0056,0.0060,0.9873
79.0000,0.3768,166.7600,0.0056,0.0060,0.9875
80.0000,0.3816,166.7600,0.0053,0.0060,0.9877
81.0000,0.3859,166.7600,0.0056,0.0060,0.9878
82.0000,0.3904,166.7600,0.0054,0.0060,0.9880
83.0000,0.3950,166.7600,0.0051,0.0060,0.9881
84.0000,0.3990,166.7600,0.0059,0.0060,0.9882
85.0000,0.4030,166.7600,0.0059,0.0060,0.9884
86.0000,0.4068,166.7600,0.0060,0.0060,0.9885
87.0000,0.4113,166.7600,0.0060,0.0060,0.9886
88.0000,0.4154,166.7600,0.0057,0.0060,0.9888
89.0000,0.4196,166.7600,0.0053,0.0060,0.9889
90.0000,0.4240,166.7600,0.0057,0.0060,0.9890
91.0000,0.4282,166.7600,0.0054,0.0060,0.9891
92.0000,0.4330,166.7600,0.0053,0.0060,0.9892
93.0000,0.4370,166.7600,0.0060,0.0060,0.9894
94.0000,0.4415,166.7600,0.0059,0.0060,0.9895
95.0000,0.4459,166.7600,0.0056,0.0060,0.9896
96.0000,0.4501,166.7600,0.0060,0.0060,0.9897
97.0000,0.4541,166.7600,0.0059,0.0060,0.9898
98.0000,0.4582,166.7600,0.0057,0.0060,0.9899
99.0000,0.4631,166.7600,0.0056,0.0060,0.9900
100.0000,0.4674,166.7600,0.0051,0.0060,0.9901
101.0000,0.4721,166.7600,0.0056,0.0060,0.9902
102.0000,0.4769,166.7600,0.0056,0.0060,0.9903
103.0000,0.4813,166.7600,0.0059,0.0060,0.9904
104.0000,0.4854,166.7600,0.0059,0.0060,0.9905
105.0000,0.4898,166.7600,0.0059,0.0060,0.9906
106.0000,0.4940,166.7600,0.0057,0.0060,0.9907
107.0000,0.4985,166.7600,0.0053,0.0060,0.9907
108.0000,0.5023,166.7600,0.0060,0.0060,0.9908
109.0000,0.5063,166.7600,0.0057,0.0060,0.9909
110.0000,0.5107,166.7600,0.0054,0.0060,0.9910
111.0000,0.5146,166.7600,0.0059,0.0060,0.9911
112.0000,0.5189,166.7600,0.0057,0.0060,0.9912
113.0000,0.5232,166.7600,0.0053,0.0060,0.9912
114.0000,0.5276,166.7600,0.0054,0.0060,0.9913
115.0000,0.5317,166.7600,0.0056,0.0060,0.9914
116.0000,0.5365,166.2150,0.0054,0.0060,0.9915
117.0000,0.5411,164.1800,0.0059,0.0061,0.9915
118.0000,0.5457,164.1800,0.0059,0.0061,0.9916
