EliteCount,AvgObjective,StdObjective,SuccessRate,NumConfigs
1.0000,156.3230,4.4217,1.0000,16.0000
5.0000,150.2570,2.9678,1.0000,16.0000
10.0000,149.4761,2.5949,1.0000,16.0000
