NodeIndex,NodeID
1.0000,20.0000
2.0000,30.0000
3.0000,61.0000
4.0000,65.0000
5.0000,67.0000
6.0000,103.0000
7.0000,107.0000
8.0000,110.0000
9.0000,122.0000
10.0000,129.0000
11.0000,173.0000
12.0000,177.0000
