Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.1009,197.6200,0.0004,0.0050,NaN
2.0000,0.1542,197.6200,0.0010,0.0050,NaN
3.0000,0.2064,193.6650,0.0022,0.0051,NaN
4.0000,0.2586,193.6650,0.0031,0.0051,NaN
5.0000,0.3120,185.4250,0.0036,0.0054,NaN
6.0000,0.3654,185.4250,0.0034,0.0054,NaN
7.0000,0.4174,185.4250,0.0035,0.0054,NaN
8.0000,0.4691,185.4250,0.0039,0.0054,NaN
9.0000,0.5215,185.4250,0.0036,0.0054,NaN
10.0000,0.5785,177.6950,0.0033,0.0056,NaN
11.0000,0.6345,177.6950,0.0037,0.0056,NaN
12.0000,0.6901,177.6950,0.0039,0.0056,NaN
13.0000,0.7461,177.6950,0.0037,0.0056,NaN
14.0000,0.8022,177.6950,0.0039,0.0056,NaN
15.0000,0.8604,177.6950,0.0040,0.0056,NaN
16.0000,0.9239,177.6950,0.0043,0.0056,NaN
17.0000,0.9840,177.6950,0.0041,0.0056,NaN
18.0000,1.0439,177.6950,0.0043,0.0056,NaN
19.0000,1.1030,177.6950,0.0043,0.0056,NaN
20.0000,1.1629,174.4800,0.0043,0.0057,NaN
21.0000,1.2190,174.4800,0.0044,0.0057,NaN
22.0000,1.2779,174.4800,0.0046,0.0057,NaN
23.0000,1.3358,174.4800,0.0045,0.0057,NaN
24.0000,1.3925,174.4800,0.0046,0.0057,NaN
25.0000,1.4499,173.3900,0.0049,0.0057,NaN
26.0000,1.5064,173.3900,0.0046,0.0057,NaN
27.0000,1.5620,172.0900,0.0047,0.0058,NaN
28.0000,1.6192,172.0900,0.0048,0.0058,NaN
29.0000,1.6773,172.0900,0.0044,0.0058,NaN
30.0000,1.7338,170.6000,0.0046,0.0058,NaN
31.0000,1.7910,170.6000,0.0047,0.0058,NaN
32.0000,1.8465,170.6000,0.0048,0.0058,NaN
33.0000,1.8995,170.6000,0.0051,0.0058,NaN
34.0000,1.9551,170.6000,0.0050,0.0058,NaN
35.0000,2.0077,170.6000,0.0046,0.0058,NaN
36.0000,2.0609,170.6000,0.0052,0.0058,NaN
37.0000,2.1137,170.6000,0.0051,0.0058,NaN
38.0000,2.1668,170.6000,0.0053,0.0058,NaN
39.0000,2.2274,170.5900,0.0052,0.0058,NaN
40.0000,2.2866,170.5900,0.0053,0.0058,NaN
41.0000,2.3452,170.5900,0.0051,0.0058,NaN
42.0000,2.4035,170.5900,0.0052,0.0058,NaN
43.0000,2.4622,168.2250,0.0051,0.0059,NaN
44.0000,2.5205,168.2250,0.0055,0.0059,NaN
45.0000,2.5781,168.2250,0.0052,0.0059,NaN
46.0000,2.6355,168.2250,0.0053,0.0059,NaN
47.0000,2.6929,168.0500,0.0054,0.0059,NaN
48.0000,2.7517,166.8750,0.0052,0.0060,NaN
49.0000,2.8082,166.8750,0.0051,0.0060,NaN
50.0000,2.8629,166.8750,0.0054,0.0060,NaN
51.0000,2.9176,166.8750,0.0052,0.0060,NaN
52.0000,2.9693,165.5900,0.0052,0.0060,NaN
53.0000,3.0208,165.5900,0.0051,0.0060,NaN
54.0000,3.0719,165.1500,0.0053,0.0060,NaN
55.0000,3.1235,165.1500,0.0051,0.0060,NaN
56.0000,3.1751,165.1500,0.0054,0.0060,NaN
57.0000,3.2262,165.1500,0.0054,0.0060,NaN
58.0000,3.2781,163.9000,0.0052,0.0061,NaN
59.0000,3.3304,163.9000,0.0053,0.0061,NaN
60.0000,3.3824,163.9000,0.0050,0.0061,NaN
61.0000,3.4338,163.9000,0.0048,0.0061,NaN
62.0000,3.4852,163.5800,0.0049,0.0061,NaN
63.0000,3.5372,163.5800,0.0050,0.0061,NaN
64.0000,3.5900,163.3500,0.0053,0.0061,NaN
65.0000,3.6454,163.3500,0.0051,0.0061,NaN
66.0000,3.6968,163.3500,0.0048,0.0061,NaN
67.0000,3.7493,163.3500,0.0051,0.0061,NaN
68.0000,3.8012,160.5250,0.0048,0.0062,NaN
69.0000,3.8527,160.5250,0.0050,0.0062,NaN
70.0000,3.9063,160.5250,0.0053,0.0062,NaN
71.0000,3.9598,160.5250,0.0051,0.0062,NaN
72.0000,4.0107,160.5250,0.0049,0.0062,NaN
73.0000,4.0617,160.5250,0.0054,0.0062,NaN
74.0000,4.1129,160.5250,0.0055,0.0062,NaN
75.0000,4.1648,158.5800,0.0055,0.0063,NaN
76.0000,4.2168,157.7600,0.0053,0.0063,NaN
77.0000,4.2687,157.7600,0.0053,0.0063,NaN
78.0000,4.3231,157.7600,0.0054,0.0063,NaN
79.0000,4.3761,157.7600,0.0055,0.0063,NaN
80.0000,4.4283,157.7600,0.0057,0.0063,NaN
81.0000,4.4794,157.7600,0.0057,0.0063,NaN
82.0000,4.5334,157.4600,0.0053,0.0063,NaN
83.0000,4.5908,157.4600,0.0059,0.0063,NaN
84.0000,4.6493,157.1450,0.0059,0.0063,NaN
85.0000,4.7078,157.1450,0.0060,0.0063,NaN
86.0000,4.7599,157.1450,0.0056,0.0063,NaN
87.0000,4.8141,157.1450,0.0059,0.0063,NaN
88.0000,4.8656,157.1450,0.0061,0.0063,NaN
89.0000,4.9220,156.4500,0.0057,0.0064,NaN
90.0000,4.9735,155.6250,0.0058,0.0064,NaN
91.0000,5.0252,155.6250,0.0056,0.0064,NaN
92.0000,5.0765,155.6250,0.0060,0.0064,NaN
93.0000,5.1279,155.6250,0.0055,0.0064,NaN
94.0000,5.1796,155.6250,0.0056,0.0064,NaN
95.0000,5.2314,155.6250,0.0057,0.0064,NaN
96.0000,5.2834,155.6250,0.0057,0.0064,NaN
97.0000,5.3353,155.1850,0.0059,0.0064,NaN
98.0000,5.3876,155.1850,0.0060,0.0064,NaN
99.0000,5.4391,155.1850,0.0057,0.0064,NaN
100.0000,5.4907,155.1850,0.0057,0.0064,NaN
101.0000,5.5427,155.1850,0.0058,0.0064,NaN
102.0000,5.5966,155.1850,0.0057,0.0064,NaN
103.0000,5.6519,155.1850,0.0059,0.0064,NaN
104.0000,5.7070,155.1850,0.0059,0.0064,NaN
105.0000,5.7631,155.1850,0.0057,0.0064,NaN
106.0000,5.8191,155.1850,0.0061,0.0064,NaN
107.0000,5.8753,155.1850,0.0057,0.0064,NaN
108.0000,5.9389,155.1850,0.0059,0.0064,NaN
109.0000,5.9969,155.1850,0.0060,0.0064,NaN
110.0000,6.0546,155.1850,0.0061,0.0064,NaN
111.0000,6.1086,155.1850,0.0055,0.0064,NaN
112.0000,6.1598,155.1850,0.0056,0.0064,NaN
113.0000,6.2158,155.1850,0.0060,0.0064,NaN
114.0000,6.2746,155.1850,0.0058,0.0064,NaN
115.0000,6.3343,155.1850,0.0058,0.0064,NaN
116.0000,6.3949,155.1850,0.0059,0.0064,NaN
117.0000,6.4529,155.1850,0.0055,0.0064,NaN
118.0000,6.5110,155.1850,0.0059,0.0064,NaN
119.0000,6.5693,153.2450,0.0061,0.0065,NaN
120.0000,6.6271,153.2450,0.0060,0.0065,NaN
121.0000,6.6848,153.2450,0.0058,0.0065,NaN
122.0000,6.7383,153.0700,0.0057,0.0065,NaN
123.0000,6.7968,153.0700,0.0062,0.0065,NaN
124.0000,6.8512,153.0700,0.0059,0.0065,NaN
125.0000,6.9065,153.0700,0.0060,0.0065,NaN
126.0000,6.9647,153.0700,0.0062,0.0065,NaN
127.0000,7.0171,153.0650,0.0064,0.0065,NaN
128.0000,7.0685,153.0650,0.0061,0.0065,NaN
129.0000,7.1209,153.0650,0.0061,0.0065,NaN
130.0000,7.1717,153.0650,0.0058,0.0065,NaN
131.0000,7.2225,153.0650,0.0063,0.0065,NaN
132.0000,7.2736,153.0650,0.0059,0.0065,NaN
133.0000,7.3245,153.0650,0.0062,0.0065,NaN
134.0000,7.3765,153.0650,0.0057,0.0065,NaN
135.0000,7.4280,153.0650,0.0060,0.0065,NaN
136.0000,7.4793,153.0650,0.0060,0.0065,NaN
137.0000,7.5310,152.8850,0.0058,0.0065,NaN
138.0000,7.5825,152.8850,0.0060,0.0065,NaN
139.0000,7.6342,152.8850,0.0057,0.0065,NaN
140.0000,7.6856,152.8850,0.0061,0.0065,NaN
141.0000,7.7366,152.8850,0.0062,0.0065,NaN
142.0000,7.7880,152.8850,0.0061,0.0065,NaN
143.0000,7.8387,152.8850,0.0063,0.0065,NaN
144.0000,7.8902,152.8850,0.0058,0.0065,NaN
145.0000,7.9424,152.8850,0.0063,0.0065,NaN
146.0000,7.9938,151.6900,0.0061,0.0065,NaN
147.0000,8.0451,151.6900,0.0060,0.0065,NaN
148.0000,8.0966,151.6900,0.0059,0.0065,NaN
149.0000,8.1475,151.6900,0.0059,0.0065,NaN
150.0000,8.1989,151.6900,0.0064,0.0065,NaN
151.0000,8.2506,151.6900,0.0062,0.0065,NaN
152.0000,8.3015,151.6900,0.0064,0.0065,NaN
153.0000,8.3524,151.6900,0.0062,0.0065,NaN
154.0000,8.4047,151.6900,0.0063,0.0065,NaN
155.0000,8.4557,151.6900,0.0061,0.0065,NaN
156.0000,8.5066,151.6900,0.0061,0.0065,NaN
157.0000,8.5576,151.6900,0.0061,0.0065,NaN
158.0000,8.6088,151.6900,0.0063,0.0065,NaN
159.0000,8.6618,151.6900,0.0058,0.0065,NaN
160.0000,8.7136,151.6900,0.0060,0.0065,NaN
161.0000,8.7658,151.6900,0.0062,0.0065,NaN
162.0000,8.8169,151.6900,0.0064,0.0065,NaN
163.0000,8.8675,151.6900,0.0063,0.0065,NaN
164.0000,8.9219,151.6900,0.0062,0.0065,NaN
165.0000,8.9731,151.6900,0.0062,0.0065,NaN
166.0000,9.0257,151.6900,0.0059,0.0065,NaN
167.0000,9.0780,151.6900,0.0058,0.0065,NaN
168.0000,9.1290,151.6900,0.0062,0.0065,NaN
169.0000,9.1803,151.6900,0.0060,0.0065,NaN
170.0000,9.2318,151.6900,0.0062,0.0065,NaN
171.0000,9.2839,151.6900,0.0065,0.0065,NaN
172.0000,9.3353,151.6900,0.0065,0.0065,NaN
173.0000,9.3874,151.6900,0.0065,0.0065,NaN
174.0000,9.4410,151.6900,0.0059,0.0065,NaN
175.0000,9.4926,151.6900,0.0063,0.0065,NaN
176.0000,9.5441,151.6900,0.0061,0.0065,NaN
177.0000,9.5956,151.6900,0.0060,0.0065,NaN
178.0000,9.6514,151.6900,0.0059,0.0065,NaN
179.0000,9.7072,151.6900,0.0060,0.0065,NaN
180.0000,9.7644,151.6900,0.0063,0.0065,NaN
181.0000,9.8209,151.6900,0.0057,0.0065,NaN
182.0000,9.8790,151.6900,0.0064,0.0065,NaN
183.0000,9.9412,151.6900,0.0060,0.0065,NaN
184.0000,9.9996,151.6900,0.0063,0.0065,NaN
185.0000,10.0584,151.6900,0.0058,0.0065,NaN
186.0000,10.1165,151.6900,0.0062,0.0065,NaN
187.0000,10.1741,151.6900,0.0063,0.0065,NaN
188.0000,10.2321,151.6900,0.0061,0.0065,NaN
189.0000,10.2854,151.6900,0.0059,0.0065,NaN
190.0000,10.3365,151.6900,0.0063,0.0065,NaN
191.0000,10.3886,151.6900,0.0056,0.0065,NaN
192.0000,10.4411,151.6900,0.0061,0.0065,NaN
193.0000,10.4926,151.6900,0.0062,0.0065,NaN
194.0000,10.5442,151.6900,0.0059,0.0065,NaN
195.0000,10.5958,151.0200,0.0063,0.0066,NaN
196.0000,10.6477,151.0200,0.0064,0.0066,NaN
197.0000,10.6992,151.0200,0.0060,0.0066,NaN
198.0000,10.7562,151.0200,0.0062,0.0066,NaN
199.0000,10.8118,151.0200,0.0061,0.0066,NaN
200.0000,10.8640,151.0200,0.0061,0.0066,NaN
201.0000,10.9201,151.0200,0.0062,0.0066,NaN
202.0000,10.9720,151.0200,0.0060,0.0066,NaN
203.0000,11.0241,151.0200,0.0056,0.0066,NaN
204.0000,11.0766,151.0200,0.0055,0.0066,NaN
205.0000,11.1290,151.0200,0.0060,0.0066,NaN
206.0000,11.1811,151.0200,0.0055,0.0066,NaN
207.0000,11.2334,151.0200,0.0061,0.0066,NaN
208.0000,11.2857,151.0200,0.0058,0.0066,NaN
209.0000,11.3384,151.0200,0.0056,0.0066,NaN
210.0000,11.3904,151.0200,0.0062,0.0066,NaN
211.0000,11.4428,151.0200,0.0063,0.0066,NaN
212.0000,11.4963,151.0200,0.0063,0.0066,NaN
213.0000,11.5479,151.0200,0.0064,0.0066,NaN
214.0000,11.5994,151.0200,0.0061,0.0066,NaN
215.0000,11.6510,151.0200,0.0064,0.0066,NaN
216.0000,11.7027,151.0200,0.0064,0.0066,NaN
217.0000,11.7561,150.9850,0.0059,0.0066,NaN
218.0000,11.8081,150.9850,0.0061,0.0066,NaN
219.0000,11.8602,150.9850,0.0061,0.0066,NaN
220.0000,11.9213,150.9850,0.0062,0.0066,NaN
221.0000,11.9786,150.9850,0.0062,0.0066,NaN
222.0000,12.0370,150.9850,0.0061,0.0066,NaN
223.0000,12.0892,150.9850,0.0063,0.0066,NaN
224.0000,12.1410,150.9850,0.0062,0.0066,NaN
225.0000,12.1929,150.9200,0.0060,0.0066,NaN
226.0000,12.2448,150.9200,0.0062,0.0066,NaN
