Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0150,200.0450,0.0003,0.0050,0.0250
2.0000,0.0239,200.0450,0.0019,0.0050,0.0833
3.0000,0.0300,189.1200,0.0041,0.0053,0.1000
4.0000,0.0370,189.1200,0.0048,0.0053,0.1400
5.0000,0.0425,181.1100,0.0051,0.0055,0.1833
6.0000,0.0478,181.1100,0.0052,0.0055,0.2000
7.0000,0.0519,181.1100,0.0053,0.0055,0.2437
8.0000,0.0564,175.5550,0.0055,0.0057,0.2778
9.0000,0.0614,175.5550,0.0055,0.0057,0.3200
10.0000,0.0652,170.9400,0.0056,0.0058,0.3455
11.0000,0.0691,170.9400,0.0056,0.0058,0.3792
12.0000,0.0738,170.9400,0.0057,0.0058,0.4000
13.0000,0.0773,169.2500,0.0058,0.0059,0.4214
14.0000,0.0811,169.2500,0.0058,0.0059,0.4400
15.0000,0.0852,169.2500,0.0058,0.0059,0.4562
16.0000,0.0890,169.2500,0.0058,0.0059,0.4618
17.0000,0.0926,167.6850,0.0059,0.0059,0.4806
18.0000,0.0966,167.6850,0.0059,0.0059,0.4947
19.0000,0.1004,167.6850,0.0059,0.0059,0.5050
20.0000,0.1043,167.6850,0.0059,0.0059,0.5095
21.0000,0.1085,167.6850,0.0059,0.0059,0.5091
22.0000,0.1123,167.6850,0.0059,0.0059,0.5152
23.0000,0.1164,167.6850,0.0059,0.0059,0.5229
24.0000,0.1197,167.6850,0.0059,0.0059,0.5320
25.0000,0.1238,166.2400,0.0059,0.0060,0.5346
26.0000,0.1286,166.2150,0.0059,0.0060,0.5389
27.0000,0.1331,166.2150,0.0060,0.0060,0.5464
28.0000,0.1369,160.1900,0.0060,0.0062,0.5517
29.0000,0.1419,160.1900,0.0060,0.0062,0.5550
30.0000,0.1464,160.1900,0.0060,0.0062,0.5565
31.0000,0.1503,159.2100,0.0062,0.0062,0.5672
32.0000,0.1563,159.2100,0.0062,0.0062,0.5682
33.0000,0.1603,159.2100,0.0062,0.0062,0.5721
34.0000,0.1654,159.2100,0.0062,0.0062,0.5729
35.0000,0.1703,159.2100,0.0062,0.0062,0.5750
36.0000,0.1740,159.2100,0.0062,0.0062,0.5811
37.0000,0.1776,159.2100,0.0062,0.0062,0.5868
38.0000,0.1815,159.2100,0.0062,0.0062,0.5897
39.0000,0.1849,159.2100,0.0062,0.0062,0.5925
40.0000,0.1887,159.2100,0.0062,0.0062,0.5963
41.0000,0.1919,159.2100,0.0062,0.0062,0.6012
42.0000,0.1955,159.2100,0.0062,0.0062,0.6047
43.0000,0.1997,159.2100,0.0062,0.0062,0.6068
44.0000,0.2043,159.2100,0.0062,0.0062,0.6100
45.0000,0.2079,159.2100,0.0062,0.0062,0.6141
46.0000,0.2116,159.2100,0.0062,0.0062,0.6160
47.0000,0.2152,159.2100,0.0062,0.0062,0.6167
48.0000,0.2194,159.2100,0.0062,0.0062,0.6173
49.0000,0.2242,159.2100,0.0062,0.0062,0.6190
50.0000,0.2277,157.6950,0.0062,0.0063,0.6225
51.0000,0.2325,157.6950,0.0063,0.0063,0.6202
52.0000,0.2363,157.6950,0.0063,0.0063,0.6217
53.0000,0.2395,157.6950,0.0063,0.0063,0.6250
54.0000,0.2432,157.6950,0.0063,0.0063,0.6264
55.0000,0.2465,157.6950,0.0063,0.0063,0.6286
56.0000,0.2500,157.6950,0.0063,0.0063,0.6307
57.0000,0.2537,157.6950,0.0063,0.0063,0.6319
58.0000,0.2573,157.6950,0.0063,0.0063,0.6331
59.0000,0.2609,157.6950,0.0063,0.0063,0.6342
60.0000,0.2641,157.6950,0.0063,0.0063,0.6369
61.0000,0.2678,157.6950,0.0063,0.0063,0.6379
62.0000,0.2706,157.6950,0.0063,0.0063,0.6421
63.0000,0.2742,157.6950,0.0063,0.0063,0.6445
64.0000,0.2775,157.4650,0.0063,0.0063,0.6477
65.0000,0.2813,157.4650,0.0063,0.0063,0.6485
66.0000,0.2847,157.4650,0.0063,0.0063,0.6515
67.0000,0.2876,157.4650,0.0063,0.0063,0.6551
68.0000,0.2915,154.9400,0.0063,0.0064,0.6558
69.0000,0.2956,154.9200,0.0063,0.0064,0.6564
70.0000,0.2987,154.9200,0.0064,0.0064,0.6599
71.0000,0.3028,154.9200,0.0064,0.0064,0.6597
72.0000,0.3063,154.9200,0.0064,0.0064,0.6610
73.0000,0.3098,154.9200,0.0064,0.0064,0.6615
74.0000,0.3129,154.9200,0.0064,0.0064,0.6627
75.0000,0.3168,154.9200,0.0064,0.0064,0.6618
76.0000,0.3204,154.9200,0.0064,0.0064,0.6623
77.0000,0.3234,154.9200,0.0064,0.0064,0.6654
78.0000,0.3270,154.9200,0.0064,0.0064,0.6658
79.0000,0.3304,154.9200,0.0064,0.0064,0.6656
80.0000,0.3343,154.9200,0.0064,0.0064,0.6660
81.0000,0.3388,154.2250,0.0064,0.0064,0.6640
82.0000,0.3420,154.2250,0.0064,0.0064,0.6669
83.0000,0.3456,154.2250,0.0064,0.0064,0.6690
84.0000,0.3496,151.6450,0.0064,0.0066,0.6676
85.0000,0.3536,151.6450,0.0065,0.0066,0.6680
86.0000,0.3575,151.6450,0.0065,0.0066,0.6684
87.0000,0.3610,151.6450,0.0065,0.0066,0.6676
88.0000,0.3648,151.6450,0.0066,0.0066,0.6680
89.0000,0.3684,151.6450,0.0066,0.0066,0.6678
90.0000,0.3718,151.5650,0.0066,0.0066,0.6681
91.0000,0.3758,151.5650,0.0066,0.0066,0.6679
92.0000,0.3796,151.5650,0.0066,0.0066,0.6683
93.0000,0.3833,151.5650,0.0065,0.0066,0.6686
94.0000,0.3878,151.5650,0.0066,0.0066,0.6684
95.0000,0.3915,151.5650,0.0066,0.0066,0.6687
96.0000,0.3950,151.5650,0.0066,0.0066,0.6696
97.0000,0.3980,151.5650,0.0066,0.0066,0.6714
98.0000,0.4013,151.5650,0.0066,0.0066,0.6727
