PopSize,AvgObjective,StdObjective,SuccessRate,NumConfigs
20.0000,148.5281,2.7809,1.0000,9.0000
50.0000,148.0052,2.9370,1.0000,9.0000
100.0000,147.8618,2.5209,1.0000,9.0000
150.0000,147.2712,2.6450,1.0000,9.0000
