MutRate,AvgObjective,StdObjective,SuccessRate,NumConfigs
0.0500,150.1142,2.9952,1.0000,12.0000
0.1000,148.3752,3.3026,1.0000,12.0000
0.2000,148.4399,2.8037,1.0000,12.0000
0.3000,149.3841,2.8300,1.0000,12.0000
