MutRate,AvgObjective,StdObjective,SuccessRate,NumConfigs
0.0500,149.2164,2.8645,1.0000,12.0000
0.1000,147.6493,2.7168,1.0000,12.0000
0.2000,146.8840,2.5815,1.0000,12.0000
