Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0093,Inf,0.0000,0.0000,0.5000
2.0000,0.0150,Inf,0.0000,0.0001,0.6667
3.0000,0.0201,234.4600,0.0002,0.0042,0.7500
4.0000,0.0257,214.5800,0.0011,0.0046,0.8000
5.0000,0.0311,214.5800,0.0015,0.0046,0.8333
6.0000,0.0360,214.5800,0.0030,0.0046,0.8571
7.0000,0.0412,214.5800,0.0037,0.0046,0.8750
8.0000,0.0466,214.5800,0.0040,0.0046,0.8889
9.0000,0.0514,214.5800,0.0044,0.0046,0.9000
10.0000,0.0558,214.5800,0.0043,0.0046,0.9091
11.0000,0.0605,208.1000,0.0044,0.0048,0.9167
12.0000,0.0655,205.5300,0.0042,0.0048,0.9231
13.0000,0.0708,199.3200,0.0040,0.0050,0.9286
14.0000,0.0757,199.3200,0.0045,0.0050,0.9333
15.0000,0.0803,199.3200,0.0046,0.0050,0.9375
16.0000,0.0846,199.3200,0.0042,0.0050,0.9412
17.0000,0.0895,196.0150,0.0047,0.0051,0.9444
18.0000,0.0950,196.0150,0.0042,0.0051,0.9474
19.0000,0.0992,196.0150,0.0045,0.0051,0.9500
20.0000,0.1042,196.0150,0.0045,0.0051,0.9524
21.0000,0.1088,196.0150,0.0047,0.0051,0.9545
22.0000,0.1136,196.0150,0.0045,0.0051,0.9565
23.0000,0.1186,191.5900,0.0045,0.0052,0.9583
24.0000,0.1235,191.5900,0.0045,0.0052,0.9600
25.0000,0.1285,191.5900,0.0043,0.0052,0.9615
26.0000,0.1330,187.7700,0.0046,0.0053,0.9630
27.0000,0.1382,187.7700,0.0042,0.0053,0.9643
28.0000,0.1434,187.7700,0.0052,0.0053,0.9655
29.0000,0.1475,187.7700,0.0047,0.0053,0.9667
30.0000,0.1517,187.7700,0.0052,0.0053,0.9677
31.0000,0.1559,187.7700,0.0048,0.0053,0.9688
32.0000,0.1603,187.7700,0.0050,0.0053,0.9697
33.0000,0.1645,187.7700,0.0053,0.0053,0.9706
34.0000,0.1684,187.7700,0.0050,0.0053,0.9714
35.0000,0.1731,177.8500,0.0050,0.0056,0.9722
36.0000,0.1781,177.8500,0.0047,0.0056,0.9730
