Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0112,254.1750,0.0002,0.0039,0.5000
2.0000,0.0167,254.1750,0.0004,0.0039,0.6667
3.0000,0.0217,254.1750,0.0006,0.0039,0.7500
4.0000,0.0266,254.1750,0.0009,0.0039,0.8000
5.0000,0.0320,199.7900,0.0020,0.0050,0.8333
6.0000,0.0366,199.7900,0.0026,0.0050,0.8571
7.0000,0.0415,199.7900,0.0031,0.0050,0.8750
8.0000,0.0463,199.7900,0.0038,0.0050,0.8889
9.0000,0.0514,199.7900,0.0029,0.0050,0.9000
10.0000,0.0565,199.7900,0.0039,0.0050,0.9091
11.0000,0.0616,199.7900,0.0040,0.0050,0.9167
12.0000,0.0665,198.4200,0.0039,0.0050,0.9231
13.0000,0.0716,198.4200,0.0037,0.0050,0.9286
14.0000,0.0767,186.5850,0.0036,0.0053,0.9333
15.0000,0.0816,186.5850,0.0041,0.0053,0.9375
16.0000,0.0866,186.5850,0.0042,0.0053,0.9412
17.0000,0.0915,186.5850,0.0040,0.0053,0.9444
18.0000,0.0962,186.5850,0.0048,0.0053,0.9474
19.0000,0.1008,186.5850,0.0051,0.0053,0.9500
20.0000,0.1071,186.5850,0.0049,0.0053,0.9524
21.0000,0.1113,186.5850,0.0052,0.0053,0.9545
22.0000,0.1166,178.4900,0.0053,0.0056,0.9565
23.0000,0.1226,176.5000,0.0050,0.0056,0.9583
24.0000,0.1273,176.5000,0.0051,0.0056,0.9600
25.0000,0.1318,176.5000,0.0051,0.0056,0.9615
26.0000,0.1364,176.5000,0.0054,0.0056,0.9630
27.0000,0.1407,176.5000,0.0051,0.0056,0.9643
28.0000,0.1454,176.5000,0.0045,0.0056,0.9655
29.0000,0.1502,172.9200,0.0048,0.0057,0.9667
30.0000,0.1551,172.9200,0.0045,0.0057,0.9677
31.0000,0.1595,172.9200,0.0048,0.0057,0.9688
32.0000,0.1643,172.9200,0.0048,0.0057,0.9697
33.0000,0.1688,172.9200,0.0050,0.0057,0.9706
34.0000,0.1728,172.9200,0.0054,0.0057,0.9714
35.0000,0.1774,172.9200,0.0049,0.0057,0.9722
36.0000,0.1819,172.9200,0.0057,0.0057,0.9730
37.0000,0.1861,172.9200,0.0052,0.0057,0.9737
38.0000,0.1904,172.9200,0.0054,0.0057,0.9744
39.0000,0.1948,172.9200,0.0057,0.0057,0.9750
40.0000,0.1993,172.9200,0.0049,0.0057,0.9756
41.0000,0.2035,172.9200,0.0049,0.0057,0.9762
42.0000,0.2074,172.9200,0.0057,0.0057,0.9767
43.0000,0.2115,172.9200,0.0052,0.0057,0.9773
44.0000,0.2160,172.9200,0.0054,0.0057,0.9778
45.0000,0.2201,172.9200,0.0057,0.0057,0.9783
46.0000,0.2242,172.9200,0.0052,0.0057,0.9787
47.0000,0.2283,172.9200,0.0057,0.0057,0.9792
48.0000,0.2330,166.5800,0.0052,0.0060,0.9796
49.0000,0.2373,166.5800,0.0058,0.0060,0.9800
50.0000,0.2418,166.5800,0.0049,0.0060,0.9804
51.0000,0.2464,166.5800,0.0058,0.0060,0.9808
52.0000,0.2505,166.5800,0.0055,0.0060,0.9811
53.0000,0.2552,166.5800,0.0053,0.0060,0.9815
54.0000,0.2592,166.5800,0.0051,0.0060,0.9818
55.0000,0.2637,166.5800,0.0048,0.0060,0.9821
56.0000,0.2684,166.5800,0.0047,0.0060,0.9825
57.0000,0.2727,166.5800,0.0053,0.0060,0.9828
58.0000,0.2771,166.5800,0.0048,0.0060,0.9831
59.0000,0.2816,166.5800,0.0048,0.0060,0.9833
60.0000,0.2860,166.5800,0.0053,0.0060,0.9836
61.0000,0.2905,166.5800,0.0050,0.0060,0.9839
62.0000,0.2949,166.5800,0.0053,0.0060,0.9841
63.0000,0.2992,166.5800,0.0056,0.0060,0.9844
64.0000,0.3034,166.5800,0.0056,0.0060,0.9846
65.0000,0.3080,160.5500,0.0056,0.0062,0.9848
66.0000,0.3124,160.5500,0.0056,0.0062,0.9851
67.0000,0.3169,160.5500,0.0057,0.0062,0.9853
68.0000,0.3218,160.5500,0.0054,0.0062,0.9855
69.0000,0.3259,160.5500,0.0057,0.0062,0.9857
70.0000,0.3308,160.5500,0.0058,0.0062,0.9859
71.0000,0.3355,159.0400,0.0052,0.0062,0.9861
72.0000,0.3401,154.2400,0.0059,0.0064,0.9863
73.0000,0.3442,154.2400,0.0059,0.0064,0.9865
74.0000,0.3486,154.2400,0.0059,0.0064,0.9867
75.0000,0.3525,154.2400,0.0062,0.0064,0.9868
76.0000,0.3566,154.2400,0.0059,0.0064,0.9870
77.0000,0.3604,154.2400,0.0061,0.0064,0.9872
78.0000,0.3643,154.2400,0.0064,0.0064,0.9873
79.0000,0.3679,154.2400,0.0064,0.0064,0.9875
80.0000,0.3722,154.2400,0.0061,0.0064,0.9877
81.0000,0.3759,154.2400,0.0064,0.0064,0.9878
82.0000,0.3802,154.2400,0.0057,0.0064,0.9880
83.0000,0.3845,154.2400,0.0064,0.0064,0.9881
84.0000,0.3893,154.2400,0.0054,0.0064,0.9882
85.0000,0.3936,153.5750,0.0061,0.0065,0.9884
86.0000,0.3978,153.5750,0.0058,0.0065,0.9885
87.0000,0.4020,153.5750,0.0055,0.0065,0.9886
88.0000,0.4063,153.5750,0.0055,0.0065,0.9888
89.0000,0.4106,153.5750,0.0054,0.0065,0.9889
90.0000,0.4148,153.5750,0.0060,0.0065,0.9890
91.0000,0.4190,153.5750,0.0058,0.0065,0.9891
92.0000,0.4230,153.5750,0.0064,0.0065,0.9892
93.0000,0.4276,153.5750,0.0055,0.0065,0.9894
94.0000,0.4320,153.5750,0.0058,0.0065,0.9895
95.0000,0.4361,153.5750,0.0061,0.0065,0.9896
96.0000,0.4406,153.5750,0.0052,0.0065,0.9897
97.0000,0.4447,153.5750,0.0061,0.0065,0.9898
98.0000,0.4486,153.5750,0.0061,0.0065,0.9899
99.0000,0.4526,153.5750,0.0065,0.0065,0.9900
100.0000,0.4571,153.5750,0.0061,0.0065,0.9901
101.0000,0.4617,153.5750,0.0061,0.0065,0.9902
102.0000,0.4661,153.5750,0.0064,0.0065,0.9903
