MutRate,AvgObjective,StdObjective,SuccessRate,NumConfigs
0.0500,149.7473,2.8216,1.0000,12.0000
0.1000,147.9576,2.4463,1.0000,12.0000
0.2000,148.0576,2.2662,1.0000,12.0000
0.3000,149.9767,2.9728,1.0000,12.0000
