EliteCount,AvgObjective,StdObjective,SuccessRate,NumConfigs
5.0000,146.3201,2.1637,1.0000,25.0000
10.0000,146.2756,2.0493,1.0000,25.0000
15.0000,146.5632,1.8689,1.0000,25.0000
20.0000,146.4210,2.3241,1.0000,25.0000
