PopSize,AvgObjective,StdObjective,SuccessRate,NumConfigs
50.0000,146.5683,2.4084,1.0000,20.0000
100.0000,146.4982,2.1456,1.0000,20.0000
150.0000,146.5396,2.0863,1.0000,20.0000
200.0000,146.1902,1.9169,1.0000,20.0000
300.0000,146.1784,1.9503,1.0000,20.0000
