ConfigID,PopSize,MutRate,EliteCount,TestNum,Objective,MaxSP,Runtime
1.0000,20.0000,0.0500,1.0000,1.0000,148.7700,992.0000,30.0363
1.0000,20.0000,0.0500,1.0000,2.0000,146.2250,998.0000,30.0239
1.0000,20.0000,0.0500,1.0000,3.0000,149.8950,994.0000,30.0268
1.0000,20.0000,0.0500,1.0000,4.0000,150.2550,989.0000,30.0273
1.0000,20.0000,0.0500,1.0000,5.0000,152.9750,996.0000,30.0276
1.0000,20.0000,0.0500,1.0000,6.0000,152.3900,998.0000,30.0313
1.0000,20.0000,0.0500,1.0000,7.0000,156.4000,988.0000,30.0246
1.0000,20.0000,0.0500,1.0000,8.0000,151.2600,994.0000,30.0301
1.0000,20.0000,0.0500,1.0000,9.0000,151.1650,988.0000,30.0251
1.0000,20.0000,0.0500,1.0000,10.0000,153.1950,998.0000,30.0292
2.0000,20.0000,0.0500,5.0000,1.0000,151.9000,992.0000,30.0348
2.0000,20.0000,0.0500,5.0000,2.0000,152.6200,992.0000,30.0306
2.0000,20.0000,0.0500,5.0000,3.0000,148.9450,989.0000,30.0321
2.0000,20.0000,0.0500,5.0000,4.0000,149.3050,998.0000,30.0293
2.0000,20.0000,0.0500,5.0000,5.0000,148.9450,989.0000,30.0273
2.0000,20.0000,0.0500,5.0000,6.0000,145.9350,998.0000,30.0220
2.0000,20.0000,0.0500,5.0000,7.0000,150.8000,998.0000,30.0327
2.0000,20.0000,0.0500,5.0000,8.0000,146.2200,997.0000,30.0238
2.0000,20.0000,0.0500,5.0000,9.0000,147.1450,992.0000,30.0293
2.0000,20.0000,0.0500,5.0000,10.0000,147.6400,998.0000,30.0323
3.0000,20.0000,0.0500,10.0000,1.0000,145.8600,998.0000,30.0299
3.0000,20.0000,0.0500,10.0000,2.0000,146.5050,1000.0000,30.0219
3.0000,20.0000,0.0500,10.0000,3.0000,151.3650,1000.0000,30.0265
3.0000,20.0000,0.0500,10.0000,4.0000,153.4300,995.0000,30.0279
3.0000,20.0000,0.0500,10.0000,5.0000,145.4800,994.0000,30.0365
3.0000,20.0000,0.0500,10.0000,6.0000,151.4000,989.0000,30.0269
3.0000,20.0000,0.0500,10.0000,7.0000,146.6400,1000.0000,30.0260
3.0000,20.0000,0.0500,10.0000,8.0000,152.4400,996.0000,30.0222
3.0000,20.0000,0.0500,10.0000,9.0000,146.8100,997.0000,30.0246
3.0000,20.0000,0.0500,10.0000,10.0000,146.7200,1000.0000,30.0245
4.0000,20.0000,0.1000,1.0000,1.0000,143.0850,998.0000,30.0315
4.0000,20.0000,0.1000,1.0000,2.0000,151.5450,986.0000,30.0269
4.0000,20.0000,0.1000,1.0000,3.0000,146.0500,1000.0000,30.0282
4.0000,20.0000,0.1000,1.0000,4.0000,146.8550,1000.0000,30.0309
4.0000,20.0000,0.1000,1.0000,5.0000,145.4500,1000.0000,30.0238
4.0000,20.0000,0.1000,1.0000,6.0000,146.1300,998.0000,30.0413
4.0000,20.0000,0.1000,1.0000,7.0000,147.0400,994.0000,30.0421
4.0000,20.0000,0.1000,1.0000,8.0000,148.4750,992.0000,30.0257
4.0000,20.0000,0.1000,1.0000,9.0000,148.5350,1000.0000,30.0240
4.0000,20.0000,0.1000,1.0000,10.0000,149.6600,998.0000,30.0315
5.0000,20.0000,0.1000,5.0000,1.0000,148.9200,997.0000,30.0317
5.0000,20.0000,0.1000,5.0000,2.0000,149.2450,997.0000,30.0228
5.0000,20.0000,0.1000,5.0000,3.0000,150.5800,998.0000,30.0275
5.0000,20.0000,0.1000,5.0000,4.0000,147.6650,992.0000,30.0227
5.0000,20.0000,0.1000,5.0000,5.0000,148.4950,998.0000,30.0242
5.0000,20.0000,0.1000,5.0000,6.0000,149.7750,980.0000,30.0281
5.0000,20.0000,0.1000,5.0000,7.0000,147.4950,998.0000,30.0238
5.0000,20.0000,0.1000,5.0000,8.0000,146.2250,998.0000,30.0263
5.0000,20.0000,0.1000,5.0000,9.0000,149.3300,998.0000,30.0305
5.0000,20.0000,0.1000,5.0000,10.0000,146.1950,998.0000,30.0290
6.0000,20.0000,0.1000,10.0000,1.0000,145.1800,998.0000,30.0314
6.0000,20.0000,0.1000,10.0000,2.0000,152.0350,992.0000,30.0236
