Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0107,Inf,0.0000,0.0000,0.5000
2.0000,0.0166,234.2600,0.0004,0.0043,0.6667
3.0000,0.0219,234.2600,0.0010,0.0043,0.7500
4.0000,0.0267,234.2600,0.0018,0.0043,0.8000
5.0000,0.0315,234.2600,0.0031,0.0043,0.8333
6.0000,0.0362,219.2750,0.0037,0.0045,0.8571
7.0000,0.0404,219.2750,0.0040,0.0045,0.8750
8.0000,0.0450,219.1350,0.0043,0.0045,0.8889
9.0000,0.0496,219.1350,0.0044,0.0045,0.9000
10.0000,0.0544,216.0950,0.0043,0.0046,0.9091
11.0000,0.0592,202.8800,0.0041,0.0049,0.9167
12.0000,0.0642,202.1450,0.0042,0.0049,0.9231
13.0000,0.0686,202.1450,0.0044,0.0049,0.9286
14.0000,0.0736,195.3450,0.0048,0.0051,0.9333
15.0000,0.0787,190.2850,0.0044,0.0052,0.9375
16.0000,0.0833,190.2850,0.0048,0.0052,0.9412
17.0000,0.0882,190.2850,0.0045,0.0052,0.9444
18.0000,0.0931,190.2850,0.0051,0.0052,0.9474
19.0000,0.0978,190.2850,0.0045,0.0052,0.9500
20.0000,0.1028,187.9750,0.0051,0.0053,0.9524
21.0000,0.1073,187.9750,0.0049,0.0053,0.9545
22.0000,0.1115,187.9750,0.0047,0.0053,0.9565
23.0000,0.1157,187.9750,0.0050,0.0053,0.9583
24.0000,0.1194,187.9750,0.0053,0.0053,0.9600
25.0000,0.1246,187.9550,0.0047,0.0053,0.9615
26.0000,0.1290,187.9550,0.0050,0.0053,0.9630
27.0000,0.1331,187.9550,0.0050,0.0053,0.9643
28.0000,0.1380,184.9350,0.0047,0.0054,0.9655
29.0000,0.1425,184.9350,0.0047,0.0054,0.9667
30.0000,0.1467,184.9350,0.0049,0.0054,0.9677
31.0000,0.1510,184.9350,0.0050,0.0054,0.9688
32.0000,0.1555,182.7700,0.0050,0.0054,0.9697
