Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,143.085000,998.000000,4.000000,37.748525,2.000000,143.085000,[91   65   68   30  173   20  108  131  146   90  107  163]
2.000000,144.305000,998.000000,3.000000,30.457206,3.000000,144.305000,[110   65   30  163  173   20  108  129   90   53  154  107]
3.000000,143.160000,998.000000,3.000000,31.250295,1.000000,143.160000,[110  108  146   20  121   90  173  107   30   53  163   65]
4.000000,144.695000,1000.000000,4.000000,39.699281,3.000000,144.695000,[67  144  173  110   30  129   65  177   94   20  107   83]
5.000000,144.305000,998.000000,4.000000,38.377156,2.000000,144.305000,[110   65   30  129  163  173  154   20  108   90   53  107]
6.000000,146.930000,998.000000,3.000000,31.833634,3.000000,146.930000,[110   65  146  172  173   27   90   20  107  121  108   53]
7.000000,143.280000,1000.000000,4.000000,30.819798,3.000000,143.280000,[78  144   20  173  131   30   65  146   87  104   93  177]
8.000000,143.405000,1000.000000,3.000000,35.603395,1.000000,143.405000,[67  122   20  173   30  110  103   65  129  107  177   61]
9.000000,143.085000,998.000000,3.000000,32.523555,1.000000,143.085000,[91   65  107   20  131   30  173  146   90  163   68  108]
10.000000,143.900000,1000.000000,4.000000,35.067053,2.000000,143.900000,[53   93  173   20  177  129  144  107   87   65   30  110]
