Run,Iteration,Time,Objective_avgSP,Objective_maxSP
1.000000,1.000000,5.981804,147.405000,1000.000000
1.000000,2.000000,13.062047,144.810000,998.000000
1.000000,3.000000,16.869586,146.790000,998.000000
1.000000,4.000000,24.452948,144.745000,1000.000000
1.000000,5.000000,30.227219,147.490000,998.000000
2.000000,1.000000,3.839318,145.700000,998.000000
2.000000,2.000000,13.001632,143.885000,998.000000
2.000000,3.000000,27.411913,143.085000,998.000000
2.000000,4.000000,49.554280,144.305000,998.000000
3.000000,1.000000,21.079444,146.060000,1000.000000
3.000000,2.000000,27.445694,147.405000,1000.000000
3.000000,3.000000,32.603757,143.885000,998.000000
4.000000,1.000000,4.459184,143.885000,998.000000
4.000000,2.000000,11.291632,146.090000,998.000000
4.000000,3.000000,17.433916,147.490000,998.000000
4.000000,4.000000,21.511504,146.340000,980.000000
4.000000,5.000000,29.709972,146.435000,1000.000000
4.000000,6.000000,35.601811,146.790000,998.000000
5.000000,1.000000,7.942776,148.555000,998.000000
5.000000,2.000000,17.766094,143.405000,1000.000000
5.000000,3.000000,25.266405,147.665000,992.000000
5.000000,4.000000,32.260592,143.085000,998.000000
6.000000,1.000000,4.706255,146.450000,980.000000
6.000000,2.000000,10.489373,146.170000,998.000000
6.000000,3.000000,16.351463,143.885000,998.000000
6.000000,4.000000,20.732695,143.885000,998.000000
6.000000,5.000000,27.857198,143.405000,1000.000000
6.000000,6.000000,33.116380,143.085000,998.000000
7.000000,1.000000,5.976075,143.885000,998.000000
7.000000,2.000000,12.004753,147.440000,991.000000
7.000000,3.000000,18.026052,147.405000,1000.000000
7.000000,4.000000,25.946841,143.085000,998.000000
7.000000,5.000000,33.297973,146.175000,990.000000
8.000000,1.000000,8.529078,143.085000,998.000000
8.000000,2.000000,16.422735,143.085000,998.000000
8.000000,3.000000,20.107203,149.080000,991.000000
8.000000,4.000000,23.070096,146.790000,998.000000
8.000000,5.000000,25.999669,147.405000,1000.000000
8.000000,6.000000,34.067764,146.865000,998.000000
9.000000,1.000000,6.627739,143.405000,1000.000000
9.000000,2.000000,13.472894,147.400000,998.000000
9.000000,3.000000,18.971259,147.490000,998.000000
9.000000,4.000000,25.149051,143.085000,998.000000
9.000000,5.000000,31.708990,143.885000,998.000000
10.000000,1.000000,5.901719,147.400000,998.000000
10.000000,2.000000,11.168840,147.440000,991.000000
10.000000,3.000000,18.555433,143.405000,1000.000000
10.000000,4.000000,26.136329,144.810000,998.000000
10.000000,5.000000,32.484078,143.085000,998.000000
