Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,145.0600,153.5494,167.5100,100.0000
3.0000,147.5700,154.7337,166.8550,100.0000
5.0000,147.6750,158.0978,168.9400,100.0000
8.0000,149.7100,160.9494,174.2400,100.0000
10.0000,153.0750,163.7884,178.4800,100.0000
Random,237.9950,237.9950,237.9950,1.0000
GRASP_Best_r2,143.0850,143.0850,143.0850,1.0000
