Run,Iteration,Time,Objective_avgSP,Objective_maxSP
1.000000,1.000000,1.006751,143.885000,998.000000
1.000000,2.000000,1.896687,143.885000,998.000000
1.000000,3.000000,2.651174,143.885000,998.000000
1.000000,4.000000,3.503273,148.870000,992.000000
1.000000,5.000000,4.621301,147.915000,986.000000
1.000000,6.000000,5.661588,146.130000,998.000000
1.000000,7.000000,6.697090,143.885000,998.000000
1.000000,8.000000,7.622804,146.090000,998.000000
1.000000,9.000000,8.563952,143.085000,998.000000
1.000000,10.000000,9.563114,147.405000,1000.000000
1.000000,11.000000,10.734348,144.695000,1000.000000
1.000000,12.000000,12.205040,143.405000,1000.000000
1.000000,13.000000,13.283447,148.495000,998.000000
1.000000,14.000000,14.369931,143.405000,1000.000000
1.000000,15.000000,15.189618,146.435000,1000.000000
1.000000,16.000000,16.101209,143.085000,998.000000
1.000000,17.000000,17.327078,143.405000,1000.000000
1.000000,18.000000,17.908818,143.280000,1000.000000
1.000000,19.000000,18.794479,143.405000,1000.000000
1.000000,20.000000,19.630289,143.280000,1000.000000
1.000000,21.000000,20.373575,143.885000,998.000000
1.000000,22.000000,21.375679,147.490000,998.000000
1.000000,23.000000,22.098963,143.900000,1000.000000
1.000000,24.000000,23.016380,147.400000,998.000000
1.000000,25.000000,23.922396,144.745000,980.000000
1.000000,26.000000,25.081842,148.865000,998.000000
1.000000,27.000000,26.001302,143.280000,1000.000000
1.000000,28.000000,26.910739,143.160000,998.000000
1.000000,29.000000,27.902882,146.450000,980.000000
1.000000,30.000000,28.881096,147.635000,998.000000
1.000000,31.000000,29.712777,145.700000,998.000000
1.000000,32.000000,30.467490,146.740000,990.000000
2.000000,1.000000,0.969520,146.475000,998.000000
2.000000,2.000000,1.848081,151.565000,988.000000
2.000000,3.000000,3.302695,144.695000,1000.000000
2.000000,4.000000,4.119010,145.700000,998.000000
2.000000,5.000000,5.051957,143.885000,998.000000
2.000000,6.000000,6.176541,146.790000,998.000000
2.000000,7.000000,7.116088,143.085000,998.000000
2.000000,8.000000,7.929669,147.405000,1000.000000
2.000000,9.000000,8.722702,146.375000,1000.000000
2.000000,10.000000,9.542783,144.745000,980.000000
2.000000,11.000000,10.474606,143.900000,1000.000000
2.000000,12.000000,11.271828,146.740000,990.000000
2.000000,13.000000,12.064483,146.435000,1000.000000
2.000000,14.000000,12.841281,146.060000,1000.000000
2.000000,15.000000,14.202253,146.865000,998.000000
2.000000,16.000000,15.109967,143.885000,998.000000
2.000000,17.000000,16.247549,149.895000,996.000000
2.000000,18.000000,17.059381,146.790000,998.000000
2.000000,19.000000,17.923182,152.660000,992.000000
2.000000,20.000000,19.068191,146.865000,998.000000
2.000000,21.000000,19.846675,145.555000,980.000000
2.000000,22.000000,21.093729,143.085000,998.000000
2.000000,23.000000,21.904762,144.520000,1000.000000
2.000000,24.000000,22.959950,143.085000,998.000000
2.000000,25.000000,23.769995,144.695000,1000.000000
2.000000,26.000000,24.991169,147.535000,998.000000
2.000000,27.000000,25.752754,146.060000,1000.000000
2.000000,28.000000,26.403452,147.060000,980.000000
2.000000,29.000000,27.189377,146.930000,998.000000
2.000000,30.000000,28.209975,143.280000,1000.000000
2.000000,31.000000,29.248971,143.885000,998.000000
2.000000,32.000000,30.332779,147.405000,1000.000000
3.000000,1.000000,0.882694,144.745000,980.000000
3.000000,2.000000,2.075770,145.715000,980.000000
3.000000,3.000000,2.933535,143.900000,1000.000000
3.000000,4.000000,4.027135,147.480000,998.000000
3.000000,5.000000,5.292935,147.480000,998.000000
3.000000,6.000000,6.394137,147.405000,1000.000000
3.000000,7.000000,7.120098,150.265000,992.000000
3.000000,8.000000,7.709049,146.740000,990.000000
3.000000,9.000000,8.703104,146.195000,998.000000
3.000000,10.000000,9.879737,147.915000,986.000000
3.000000,11.000000,10.670336,147.490000,998.000000
3.000000,12.000000,11.613442,147.480000,998.000000
3.000000,13.000000,12.323858,148.865000,998.000000
3.000000,14.000000,13.228629,148.980000,976.000000
3.000000,15.000000,14.121304,148.865000,998.000000
3.000000,16.000000,15.377961,143.885000,998.000000
3.000000,17.000000,16.462996,146.130000,998.000000
3.000000,18.000000,17.609020,143.085000,998.000000
3.000000,19.000000,18.349389,144.810000,998.000000
3.000000,20.000000,19.408684,146.755000,998.000000
3.000000,21.000000,20.105956,147.405000,1000.000000
3.000000,22.000000,21.189445,147.400000,998.000000
3.000000,23.000000,22.129371,143.085000,998.000000
3.000000,24.000000,22.903069,146.285000,980.000000
3.000000,25.000000,24.050044,143.885000,998.000000
3.000000,26.000000,25.096034,143.160000,998.000000
3.000000,27.000000,25.921965,147.545000,998.000000
3.000000,28.000000,26.687011,146.170000,998.000000
3.000000,29.000000,27.503061,147.625000,988.000000
3.000000,30.000000,28.520392,147.400000,998.000000
