Run,Iteration,Time,Objective_avgSP,Objective_maxSP
1.000000,1.000000,9.571557,143.160000,998.000000
1.000000,2.000000,21.177121,143.085000,998.000000
1.000000,3.000000,29.198376,147.105000,992.000000
1.000000,4.000000,37.748525,146.060000,1000.000000
2.000000,1.000000,8.672736,147.110000,992.000000
2.000000,2.000000,16.417326,144.810000,998.000000
2.000000,3.000000,30.457206,144.305000,998.000000
3.000000,1.000000,14.069728,143.160000,998.000000
3.000000,2.000000,23.510941,146.120000,990.000000
3.000000,3.000000,31.250295,150.305000,994.000000
4.000000,1.000000,7.699944,149.895000,996.000000
4.000000,2.000000,16.377960,151.875000,990.000000
4.000000,3.000000,28.652753,144.695000,1000.000000
4.000000,4.000000,39.699281,144.745000,1000.000000
5.000000,1.000000,8.534924,148.045000,994.000000
5.000000,2.000000,20.727206,144.305000,998.000000
5.000000,3.000000,29.042178,146.225000,998.000000
5.000000,4.000000,38.377156,150.195000,996.000000
6.000000,1.000000,12.175830,147.480000,998.000000
6.000000,2.000000,21.654887,147.930000,1000.000000
6.000000,3.000000,31.833634,146.930000,998.000000
7.000000,1.000000,5.838955,146.225000,998.000000
7.000000,2.000000,15.046993,147.885000,998.000000
7.000000,3.000000,21.580102,143.280000,1000.000000
7.000000,4.000000,30.819798,147.475000,998.000000
8.000000,1.000000,13.289954,143.405000,1000.000000
8.000000,2.000000,26.206895,143.405000,1000.000000
8.000000,3.000000,35.603395,143.885000,998.000000
9.000000,1.000000,9.514300,143.085000,998.000000
9.000000,2.000000,22.351318,144.695000,1000.000000
9.000000,3.000000,32.523555,146.090000,998.000000
10.000000,1.000000,7.543115,146.120000,990.000000
10.000000,2.000000,15.774062,143.900000,1000.000000
10.000000,3.000000,25.116970,146.755000,998.000000
10.000000,4.000000,35.067053,143.900000,1000.000000
