Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,143.9150,153.7792,163.8250,100.0000
3.0000,145.3950,154.2122,166.3550,100.0000
5.0000,147.2350,157.9525,168.7650,100.0000
8.0000,151.4300,161.8661,177.9850,100.0000
10.0000,147.1300,162.5783,175.2450,100.0000
Random,218.6000,231.5850,244.5700,2.0000
GRASP_Best_r2,143.0850,143.0850,143.0850,1.0000
