Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,144.0650,153.8299,168.2100,100.0000
3.0000,147.3150,154.4913,166.8550,100.0000
5.0000,149.7700,158.2440,170.2600,100.0000
8.0000,150.6150,161.3158,174.2400,100.0000
10.0000,153.0250,163.1829,182.7100,100.0000
Random,252.1100,252.1100,252.1100,1.0000
GRASP_Best_r3,143.4050,143.4050,143.4050,1.0000
