Run,Iteration,Time,Objective_avgSP,Objective_maxSP
1.000000,1.000000,8.173184,146.225000,998.000000
1.000000,2.000000,14.446286,146.740000,990.000000
1.000000,3.000000,18.854187,143.885000,998.000000
1.000000,4.000000,24.109867,145.715000,980.000000
1.000000,5.000000,31.037007,147.915000,986.000000
2.000000,1.000000,6.466738,146.060000,1000.000000
2.000000,2.000000,18.851110,146.865000,998.000000
2.000000,3.000000,27.606967,150.310000,992.000000
2.000000,4.000000,35.584551,143.405000,1000.000000
3.000000,1.000000,6.351625,146.225000,998.000000
3.000000,2.000000,13.716095,144.890000,980.000000
3.000000,3.000000,20.972351,146.060000,1000.000000
3.000000,4.000000,29.822928,149.080000,991.000000
3.000000,5.000000,37.053525,144.745000,980.000000
4.000000,1.000000,8.084306,147.400000,998.000000
4.000000,2.000000,15.255185,147.665000,992.000000
4.000000,3.000000,21.493768,146.225000,998.000000
4.000000,4.000000,26.921634,146.740000,990.000000
4.000000,5.000000,35.601907,143.085000,998.000000
5.000000,1.000000,6.321079,147.490000,998.000000
5.000000,2.000000,15.429260,143.085000,998.000000
5.000000,3.000000,21.177939,147.440000,991.000000
5.000000,4.000000,29.192939,143.085000,998.000000
5.000000,5.000000,36.482885,143.635000,998.000000
6.000000,1.000000,5.006339,148.865000,998.000000
6.000000,2.000000,11.761442,146.225000,998.000000
6.000000,3.000000,18.808115,146.225000,998.000000
6.000000,4.000000,25.019615,147.405000,1000.000000
6.000000,5.000000,32.852880,146.090000,998.000000
7.000000,1.000000,8.211271,147.300000,997.000000
7.000000,2.000000,13.625820,146.120000,990.000000
7.000000,3.000000,19.974675,143.885000,998.000000
7.000000,4.000000,24.573861,147.405000,1000.000000
7.000000,5.000000,35.216997,146.755000,998.000000
8.000000,1.000000,9.879586,143.405000,1000.000000
8.000000,2.000000,17.699290,143.085000,998.000000
8.000000,3.000000,26.608159,143.405000,1000.000000
8.000000,4.000000,33.525651,146.755000,998.000000
9.000000,1.000000,7.991472,150.265000,992.000000
9.000000,2.000000,16.904371,143.160000,998.000000
9.000000,3.000000,25.536754,144.810000,998.000000
9.000000,4.000000,30.979921,144.520000,1000.000000
10.000000,1.000000,6.221065,144.810000,998.000000
10.000000,2.000000,12.460713,147.915000,986.000000
10.000000,3.000000,21.314692,151.405000,996.000000
10.000000,4.000000,29.362706,143.885000,998.000000
10.000000,5.000000,42.938177,143.085000,998.000000
