Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,146.175000,990.000000,4.000000,36.203334,4.000000,146.175000,[110  108  173   33  167   90   56   26  169   65  107  129]
2.000000,146.225000,998.000000,4.000000,39.103527,3.000000,146.225000,[91  108   18  129  163   40   28  148  154   60   90   14]
3.000000,146.740000,990.000000,3.000000,31.917268,1.000000,146.740000,[110   87   33  173   56  129  169   93   65   26  107  167]
4.000000,143.405000,1000.000000,4.000000,38.475016,4.000000,143.405000,[61  122  173   20  177   30  103   65   68  129  107  110]
5.000000,143.405000,1000.000000,3.000000,31.639429,1.000000,143.405000,[110   68   30  173   20   61  122  129  177  103   65  107]
6.000000,144.745000,1000.000000,3.000000,35.707073,2.000000,144.745000,[110   93  107   20  144  111   65   30  173  177   53  146]
7.000000,143.885000,998.000000,4.000000,40.893248,4.000000,143.885000,[91  122   20  173   68  163  103   65   30  107  121  154]
8.000000,144.520000,1000.000000,3.000000,30.179334,3.000000,144.520000,[91  122   21  171  103   52   68   30  107  163  121  150]
9.000000,143.900000,1000.000000,4.000000,39.212345,4.000000,143.900000,[110  144   20  173  129   30  177   53  107   87   93   65]
10.000000,143.280000,1000.000000,3.000000,34.581723,1.000000,143.280000,[78   65  144   20  173   87  146   30  177   93  131  104]
