Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,145.0600,154.0802,167.5500,100.0000
3.0000,145.4650,154.7203,165.2950,100.0000
5.0000,148.0850,157.2627,169.2550,100.0000
8.0000,149.8850,161.3347,175.1100,100.0000
10.0000,154.1450,162.7013,175.3500,100.0000
Random,194.1550,217.3975,240.6400,2.0000
GRASP_Best_r5,143.0850,143.0850,143.0850,1.0000
