Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,143.885000,998.000000,5.000000,31.037007,3.000000,143.885000,[91  122   20  173   30  121  163   65  107  103   68  154]
2.000000,143.405000,1000.000000,4.000000,35.584551,4.000000,143.405000,[110   65   61   30  129   20  122  173  177  103  107   68]
3.000000,144.745000,980.000000,5.000000,37.053525,5.000000,144.745000,[78  108  160   20  163   90   40   65  107   14  146  131]
4.000000,143.085000,998.000000,5.000000,35.601907,5.000000,143.085000,[91  108  173   20   90   30  163   68  107  146   65  131]
5.000000,143.085000,998.000000,5.000000,36.482885,2.000000,143.085000,[91  108  173   20   30  163  146   65  107   90  131   68]
6.000000,146.090000,998.000000,5.000000,32.852880,5.000000,146.090000,[91  122   18  148   30  154   28  103  163   59  107  121]
7.000000,143.885000,998.000000,5.000000,35.216997,3.000000,143.885000,[91  122   20  173  121   30  163   65  107  103   68  154]
8.000000,143.085000,998.000000,4.000000,33.525651,2.000000,143.085000,[91  108  173   20   90   30  163   68  146  107  131   65]
9.000000,143.160000,998.000000,4.000000,30.979921,2.000000,143.160000,[110  108   20  121  163   30  173   53   90  107  146   65]
10.000000,143.085000,998.000000,5.000000,42.938177,5.000000,143.085000,[91  108  173   20   30  131  146  163   90  107   65   68]
