Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,144.2900,154.5568,168.3650,100.0000
3.0000,143.8850,153.2085,161.8950,100.0000
5.0000,147.7550,157.6291,167.0000,100.0000
8.0000,150.8750,161.0881,173.0900,100.0000
10.0000,153.5550,163.5070,175.5600,100.0000
Random,264.0450,264.0450,264.0450,1.0000
GRASP_Best_r3,143.0850,143.0850,143.0850,1.0000
