Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,144.745000,1000.000000,5.000000,30.227219,4.000000,144.745000,[110   65   53   93  111  144  173   30   20  177  146  107]
2.000000,143.085000,998.000000,4.000000,49.554280,3.000000,143.085000,[91  108   20  173  131   30  163   68  146  107   65   90]
3.000000,143.885000,998.000000,3.000000,32.603757,3.000000,143.885000,[91   65  154   30  121   20  122  173  163  107   68  103]
4.000000,143.885000,998.000000,6.000000,35.601811,1.000000,143.885000,[91  122   20  173  121   30  154   65  107  163   68  103]
5.000000,143.085000,998.000000,4.000000,32.260592,4.000000,143.085000,[91  108  173   20  163  131  146   65  107   90   30   68]
6.000000,143.085000,998.000000,6.000000,33.116380,6.000000,143.085000,[91  108  173   20   30  163   90   65  146  107   68  131]
7.000000,143.085000,998.000000,5.000000,33.297973,4.000000,143.085000,[91  108   20  131  163   30  173   90   65  107  146   68]
8.000000,143.085000,998.000000,6.000000,34.067764,1.000000,143.085000,[91  108   20  173   30  163  131   65  107  146   68   90]
9.000000,143.085000,998.000000,5.000000,31.708990,4.000000,143.085000,[91  108   20  131   30   68  173   90   65  107  146  163]
10.000000,143.085000,998.000000,5.000000,32.484078,5.000000,143.085000,[91  108   20  173  163  131   30   68   90  107  146   65]
