Parameter_r,Min_Objective,Avg_Objective,Max_Objective,Num_Solutions
1.0000,156.8300,156.8300,156.8300,100.0000
2.0000,144.0650,153.8447,167.5100,100.0000
3.0000,147.3150,154.5225,166.8550,100.0000
5.0000,147.6750,157.9846,167.2150,100.0000
8.0000,149.7100,161.0205,174.2400,100.0000
10.0000,153.2000,163.4890,178.4800,100.0000
GRASP_Best_r5,143.0850,143.0850,143.0850,1.0000
